cantidad,capacidad,marca,modelo,tipo_vehiculo
52,,"""Toyota""","""Fortuner""","""Particulares"""
10,,"""Ford""","""Fiesta""","""Particulares"""
31,,"""Daihatsu""","""Terios sport""","""Particulares"""
69,,"""CHEVROLET LUV""","""CAMIONETA CARGA PICK-UP""","""Carga"""
75,,"""Ford""","""Maverick""","""Particulares"""
55,,"""Daihatsu""","""Terios""","""Particulares"""
75,,"""Toyota""","""Hilux""","""Carga"""
52,,"""CHEVROLET""","""GRAND CHEROKEE""","""Particulares"""
43,,"""Cherokee""","""Kk""","""Particulares"""
30,45,"""HYUNDAI""","""ACCENT FAMILIAR""","""Transporte público taxi"""
20,45,"""TURPIAL LX/ TURPIAL 1.3""","""SEDAN""","""Particulares"""
14,,"""CHEVROLET""","""CORSA""","""Transporte público taxi"""
52,45,"""Toyota""","""Terio""","""Particulares"""
50,,"""Toyota""","""Fortuner""","""Particulares"""
45,,"""CHEVROLET""","""SPARK/5P T/M C/A""","""Particulares"""
35,,"""FIAT""","""PALIO FIRE 1.3""","""Particulares"""
50,,"""HYUNDAI""","""TUCSON""","""Particulares"""
40,,"""Huynday""","""Elantra""","""Transporte público taxi"""
57,,"""FIAT""","""FIORINO""","""Particulares"""
52,45,"""FORD""","""KA""","""Particulares"""
72,,"""Daewoo""","""Cielo BX""","""Transporte público taxi"""
72,,"""Ford""","""F100""","""Carga"""
110,,"""KIA""","""SPORTAGE""","""Particulares"""
65,,"""Ava""","""Tigrito""","""Moto"""
65,,"""Fiat""","""132""","""Particulares"""
65,,"""FORD""","""FIESTA""","""Particulares"""
78,45,"""HYUNDAI""","""ACCENT GLT""","""Transporte público taxi"""
16,45,"""Skygo""","""Sg 150-9""","""Particulares"""
14,,"""BERA""","""BR200""","""Moto"""
16,,"""Bera""","""Br 150""","""Moto"""
140,,"""Ford""","""Sport wagon""","""Particulares"""
78,,"""Chevrolet""","""Aveo Lt""","""Particulares"""
87,,"""Chrysler""","""Neon""","""Particulares"""
9,25,"""KEEWAY""","""Owen QJ-150C""","""Moto"""
14,,"""Único""","""Jaguar""","""Moto"""
11,,"""Keeway""","""Horse II 150""","""Moto"""
45,,"""Ford""","""Fiesta""","""Particulares"""
87,,"""chevrolet""","""aveo""","""Particulares"""